"Phialdelphia, PA, USA","Phialdelphia, PA, USA"
"UCLA,Los Angeles, CA","Los Angeles, CA, USA"
"Ithaca, New York, USA","Ithaca, New York, USA"
"Penn,Philadelphia, PA, USA","Philadelphia, PA, USA"
"College Park, MD, USA","College Park, MD, USA"
"University of Michigan,Ann Arbor, MI, USA","Ann Arbor, MI, USA"
"UC Berkeley,Berkeley, CA","Berkeley, CA, USA"
"Cambridge, MA, USA","Cambridge, MA, USA"
"Rice University,Houston, TX","Houston, TX, USA"
"Yale University,New Haven, CT, USA","New Haven, CT, USA"
"Columbia University,New York, NY, USA","New York, NY, USA"
"New York, New York, USA","New York, New York, USA"
"UC Berkeley,Berkeley, CA","Berkeley, CA, USA"
"Urbana, IL, USA","Urbana, IL, USA"
"Philadelphia, PA, USA","Philadelphia, PA, USA"
"Harvard University,Cambridge, MA, USA","Cambridge, MA, USA"
"University of Connecticut,Storrs, CT, USA","Storrs, CT, USA"
"Drexel University,Philadelphia, PA","Philadelphia, PA, USA"
"New Haven University,New Haven, CT, USA","New Haven, CT, USA"
"University of California, Santa Barbara,Santa Barbara, CA, USA","Santa Barbara, CA, USA"
