"University of Pennsylvania, Phialdelphia, PA, USA","University of Pennsylvania, Phialdelphia, PA, USA"
"UCLA,Los Angeles, CA","UCLA, Los Angeles, CA, USA"
"Cornell University, Ithaca, New York, USA","Cornell University, Ithaca, New York, USA"
"Penn,Philadelphia, PA, USA","Penn, Philadelphia, PA, USA"
"University of Maryland College Park, College Park, MD, USA","University of Maryland College Park, College Park, MD, USA"
"University of Michigan, Ann Arbor, MI, USA","University of Michigan, Ann Arbor, MI, USA"
"UC Berkeley, Berkeley, CA, USA","UC Berkeley, Berkeley, CA, USA"
"MIT,Cambridge, MA","MIT, Cambridge, MA, USA"
"Rice University,Houston, TX","Rice University, Houston, TX, USA"
"Yale University, New Haven, CT, USA","Yale University, New Haven, CT, USA"
"Columbia University, New York, NY, USA","Columbia University, New York, NY, USA"
"NYU, New York, New York, USA","NYU, New York, New York, USA"
"UC Berkeley, Berkeley, CA, USA","UC Berkeley, Berkeley, CA, USA"
"UIUC,Urbana, IL","UIUC, Urbana, IL, USA"
"Temple University, Philadelphia, PA, USA","Temple University, Philadelphia, PA, USA"
"Harvard University,Cambridge, MA, USA","Harvard University, Cambridge, MA, USA"
"University of Connecticut,Storrs, CT, USA","University of Connecticut, Storrs, CT, USA"
"Drexel University, Philadelphia, PA, USA","Drexel University, Philadelphia, PA, USA"
"New Haven University,New Haven, CT, USA","New Haven University, New Haven, CT, USA"
"University of California, Santa Barbara, Santa Barbara, CA, USA","University of California, Santa Barbara, Santa Barbara, CA, USA"
