"University of Pennsylvania,Phialdelphia, PA, USA","University of Pennsylvania, Phialdelphia, PA, USA"
"UCLA,Los Angeles, CA","UCLA, Los Angeles, CA"
"Cornell University,Ithaca, New York, USA","Cornell University, Ithaca, New York, USA"
"Penn, Philadelphia, PA, USA","Penn, Philadelphia, PA, USA"
"University of Maryland College Park, College Park, MD","University of Maryland College Park, College Park, MD"
"University of Michigan,Ann Arbor, MI, USA","University of Michigan, Ann Arbor, MI, USA"
"UC Berkeley, Berkeley, CA","UC Berkeley, Berkeley, CA"
"MIT, Cambridge, MA","MIT, Cambridge, MA"
"Rice University,Houston, TX","Rice University, Houston, TX"
"Yale University, New Haven, CT, USA","Yale University, New Haven, CT, USA"
"Columbia University, New York, NY, USA","Columbia University, New York, NY, USA"
"NYU,New York, New York, USA","NYU, New York, New York, USA"
"UC Berkeley,Berkeley, CA","UC Berkeley, Berkeley, CA"
"UIUC,Urbana, IL","UIUC, Urbana, IL"
"Temple University,Philadelphia, PA","Temple University, Philadelphia, PA"
"Harvard University,Cambridge, MA, USA","Harvard University, Cambridge, MA, USA"
"University of Connecticut, Storrs, CT, USA","University of Connecticut, Storrs, CT, USA"
"Drexel University, Philadelphia, PA","Drexel University, Philadelphia, PA"
"New Haven University, New Haven, CT, USA","New Haven University, New Haven, CT, USA"
"University of California, Santa Barbara, Santa Barbara, CA, USA","University of California, Santa Barbara, Santa Barbara, CA, USA"
